experiment,shape,batch,seq,in_dim,out_dim,variant,device,dtype,repeat,warmup,estimated_weight_size_MB,compression_ratio_vs_fp32,mse,mae,max_error,cosine_similarity,latency_mean_ms,latency_std_ms,speedup_vs_fp32
scale_sweep_linear,"batch=1,seq=256,in=2048,out=2048",1,256,2048,2048,fp32,cuda,float32,30,5,16.0,1.0,0.0,0.0,0.0,1.0,0.18927799992525252,0.004056837589327665,1.0
scale_sweep_linear,"batch=1,seq=256,in=2048,out=2048",1,256,2048,2048,fp16,cuda,float32,30,5,8.0,2.0,1.7350342318422918e-07,0.0003231074078939855,0.0031287670135498047,0.9999998807907104,0.0758877000407665,0.001837857689642468,2.4941854849148584
scale_sweep_linear,"batch=1,seq=256,in=2048,out=2048",1,256,2048,2048,int8_fake_quant,cuda,float32,30,5,4.0,4.0,0.00025219720555469394,0.012672442942857742,0.07779839634895325,0.9998737573623657,0.4493032000027597,0.011023100911788796,0.421270090941017
scale_sweep_linear,"batch=1,seq=256,in=2048,out=2048",1,256,2048,2048,int4_weight_only_fake_quant,cuda,float32,30,5,2.0,8.0,0.022447995841503143,0.1190129816532135,0.7731063961982727,0.9889510869979858,0.41828900002656155,0.0024679049458436395,0.4525053250581136
scale_sweep_linear,"batch=1,seq=256,in=4096,out=4096",1,256,4096,4096,fp32,cuda,float32,20,5,64.0,1.0,0.0,0.0,0.0,1.0,0.8929182998144825,0.005838598625930189,1.0
scale_sweep_linear,"batch=1,seq=256,in=4096,out=4096",1,256,4096,4096,fp16,cuda,float32,20,5,32.0,2.0,2.158433147769756e-07,0.00035595419467426836,0.0037047863006591797,0.9999998807907104,0.44323554998300096,0.0034854259626250273,2.014545764320411
scale_sweep_linear,"batch=1,seq=256,in=4096,out=4096",1,256,4096,4096,int8_fake_quant,cuda,float32,20,5,16.0,4.0,0.0002789270947687328,0.013334216549992561,0.08620178699493408,0.9998607635498047,2.9663248501037742,0.08979765320564564,0.3010183796232717
scale_sweep_linear,"batch=1,seq=256,in=4096,out=4096",1,256,4096,4096,int4_weight_only_fake_quant,cuda,float32,20,5,8.0,8.0,0.02483818307518959,0.12526780366897583,0.8829496502876282,0.987817108631134,2.7852888001234533,0.12041535074571652,0.32058373974537413
scale_sweep_linear,"batch=1,seq=128,in=8192,out=8192",1,128,8192,8192,fp32,cuda,float32,10,5,256.0,1.0,0.0,0.0,0.0,1.0,2.186387999972794,0.014164522063365001,1.0
scale_sweep_linear,"batch=1,seq=128,in=8192,out=8192",1,128,8192,8192,fp16,cuda,float32,10,5,128.0,2.0,2.624556145747192e-07,0.0003884723410010338,0.004249095916748047,0.9999998211860657,1.39856689984299,0.006611938774672214,1.563305981443039
scale_sweep_linear,"batch=1,seq=128,in=8192,out=8192",1,128,8192,8192,int8_fake_quant,cuda,float32,10,5,64.0,4.0,0.0002861754037439823,0.013494218699634075,0.08078938722610474,0.9998568296432495,9.856860100080667,0.008511942667236191,0.2218138410988405
scale_sweep_linear,"batch=1,seq=128,in=8192,out=8192",1,128,8192,8192,int4_weight_only_fake_quant,cuda,float32,10,5,32.0,8.0,0.026986589655280113,0.13066089153289795,0.852023720741272,0.9867595434188843,9.763863799980754,0.006391388510669093,0.22392651564610147
