experiment,shape,heads,seq,variant,device,dtype,repeat,warmup,mse,mae,max_error,cosine_similarity,kl_divergence,latency_mean_ms,latency_std_ms,speedup_vs_exact
scale_sweep_softmax,"heads=8,seq=128",8,128,exact_softmax,cuda,float32,30,5,0.0,0.0,0.0,0.9999998807907104,0.0,0.015393933335872134,0.0015726748029169686,1.0
scale_sweep_softmax,"heads=8,seq=128",8,128,lut_exp_softmax,cuda,float32,30,5,3.885035197194464e-13,2.7514033718034625e-07,1.7821788787841797e-05,1.0,3.1464109095935555e-10,0.11193056664827357,0.006628811866013134,0.13753109447078432
scale_sweep_softmax,"heads=8,seq=128",8,128,pwl_exp_softmax,cuda,float32,30,5,2.320298563063261e-06,0.0008476115181110799,0.05765523016452789,0.9956092834472656,0.009293345734477043,0.7772526666485646,0.01845469290578951,0.019805571593918395
scale_sweep_softmax,"heads=8,seq=128",8,128,taylor2_exp_softmax,cuda,float32,30,5,2.5895107569340325e-07,0.0002630259841680527,0.0410236120223999,0.9995754957199097,0.0014843837125226855,0.06930589997864445,0.004582126231079929,0.2221157699505459
scale_sweep_softmax,"heads=8,seq=128",8,128,taylor3_exp_softmax,cuda,float32,30,5,3.0549851537386985e-09,2.796501576085575e-05,0.0054666996002197266,0.9999947547912598,2.585502079455182e-05,0.08203809987511097,0.005035991290118393,0.1876437089511675
scale_sweep_softmax,"heads=8,seq=256",8,256,exact_softmax,cuda,float32,30,5,0.0,0.0,0.0,0.9999998807907104,0.0,0.020602000010209547,0.0014035801384638684,1.0
scale_sweep_softmax,"heads=8,seq=256",8,256,lut_exp_softmax,cuda,float32,30,5,9.417973670898527e-14,1.3317071534402203e-07,1.8100352463079616e-05,0.9999998807907104,4.457026747672899e-09,0.12432730009095394,0.0017600879666564988,0.16570777291180436
scale_sweep_softmax,"heads=8,seq=256",8,256,pwl_exp_softmax,cuda,float32,30,5,7.49060916405142e-07,0.00047583089326508343,0.04918864369392395,0.994339644908905,0.010624983347952366,0.8940607000113232,0.10019731603282364,0.02304317817565253
scale_sweep_softmax,"heads=8,seq=256",8,256,taylor2_exp_softmax,cuda,float32,30,5,1.1111946207620349e-07,0.00016268104081973433,0.04159347712993622,0.9992663860321045,0.0021370230242609978,0.07776333335035208,0.0036055864448182717,0.2649320588842308
scale_sweep_softmax,"heads=8,seq=256",8,256,taylor3_exp_softmax,cuda,float32,30,5,1.535668259222689e-09,1.8310682207811624e-05,0.006067484617233276,0.9999892711639404,4.088655623490922e-05,0.09435753345314879,0.005059944824759479,0.21833974730209568
scale_sweep_softmax,"heads=16,seq=512",16,512,exact_softmax,cuda,float32,30,5,0.0,0.0,0.0,1.0,0.0,0.16687373332994562,0.001343484545065636,1.0
scale_sweep_softmax,"heads=16,seq=512",16,512,lut_exp_softmax,cuda,float32,30,5,2.1779905556482647e-14,6.465229773766623e-08,2.0277970179449767e-05,0.9999999403953552,2.9392448475107358e-09,1.8059713333665666,0.009967309623568957,0.09240109754060778
scale_sweep_softmax,"heads=16,seq=512",16,512,pwl_exp_softmax,cuda,float32,30,5,2.2195908400135522e-07,0.00026050652377307415,0.03411880135536194,0.9930967092514038,0.011728722602128983,3.043512066536399,0.015596953994365453,0.05482933193028295
scale_sweep_softmax,"heads=16,seq=512",16,512,taylor2_exp_softmax,cuda,float32,30,5,3.717159913207979e-08,9.851373033598065e-05,0.035670891404151917,0.9990715980529785,0.0029440768994390965,0.6278975667555642,0.008364509647668064,0.2657658544405672
scale_sweep_softmax,"heads=16,seq=512",16,512,taylor3_exp_softmax,cuda,float32,30,5,5.352234766498043e-10,1.1658227776933927e-05,0.005636826157569885,0.9999865293502808,6.0580634453799576e-05,0.9195164999255212,0.005828043375805361,0.18147986832586693
scale_sweep_softmax,"heads=32,seq=1024",32,1024,exact_softmax,cuda,float32,5,5,0.0,0.0,0.0,1.0,0.0,1.7232406000402989,0.0034446684627292825,1.0
scale_sweep_softmax,"heads=32,seq=1024",32,1024,lut_exp_softmax,cuda,float32,5,5,5.617292113228867e-15,3.1805104327986555e-08,7.675588130950928e-05,1.0,8.255703676240955e-09,18.96035860008851,0.417659837825118,0.09088649831930154
scale_sweep_softmax,"heads=32,seq=1024",32,1024,pwl_exp_softmax,cuda,float32,5,5,6.33367278624064e-08,0.00013738626148551702,0.044981539249420166,0.9918016195297241,0.012422524392604828,29.502916599813034,0.01774987833031899,0.05840916080992546
scale_sweep_softmax,"heads=32,seq=1024",32,1024,taylor2_exp_softmax,cuda,float32,5,5,1.2915215563680249e-08,5.855807103216648e-05,0.08486253023147583,0.9987229704856873,0.0039620897732675076,8.254026800022984,0.012109392245047104,0.20877574568033874
scale_sweep_softmax,"heads=32,seq=1024",32,1024,taylor3_exp_softmax,cuda,float32,5,5,2.0718772530958773e-10,7.2619086495251395e-06,0.017490386962890625,0.9999791383743286,8.776233880780637e-05,11.694170599730569,0.0071104176162492105,0.1473589413925603
