step,loss,device
1,1.4260039329528809,cpu
10,1.2324142456054688,cpu
20,0.8670355081558228,cpu
30,0.5864964723587036,cpu
40,0.39327871799468994,cpu
50,0.36633533239364624,cpu
60,0.3361189365386963,cpu
70,0.33753809332847595,cpu
80,0.3129264712333679,cpu
90,0.37396183609962463,cpu
100,0.3285944163799286,cpu
110,0.3248421549797058,cpu
120,0.3261302709579468,cpu
130,0.31630587577819824,cpu
140,0.31594690680503845,cpu
150,0.29324132204055786,cpu
160,0.32724910974502563,cpu
170,0.2739826738834381,cpu
180,0.29747268557548523,cpu
190,0.3171318471431732,cpu
200,0.30524882674217224,cpu
210,0.2874308228492737,cpu
220,0.3035142421722412,cpu
230,0.2617012858390808,cpu
240,0.2783791422843933,cpu
250,0.31867343187332153,cpu
260,0.29257503151893616,cpu
270,0.28486937284469604,cpu
280,0.30220913887023926,cpu
290,0.2976691424846649,cpu
300,0.29253801703453064,cpu
310,0.2730763554573059,cpu
320,0.2835977077484131,cpu
330,0.2566739022731781,cpu
340,0.2761114239692688,cpu
350,0.28916606307029724,cpu
360,0.2985031008720398,cpu
370,0.2958771884441376,cpu
380,0.2907668352127075,cpu
390,0.2766963541507721,cpu
400,0.2889764606952667,cpu
